Frequency,T0Magnitude,T1Magnitude,T2Magnitude,T3Magnitude,T4Magnitude,T5Magnitude
626250000000,-7.698099339,3.973410225,1.481180141,1.481180141,11.60413786,11.39119546
626875000000,-8.959129228,0.197617626,-0.349014645,-0.349014645,1.626048014,1.893009597
627500000000,-12.09651279,-3.740294718,-4.273601153,-4.273601153,-2.559767639,-2.420920706
628125000000,-9.258611511,-6.197777405,-6.477296313,-6.477296313,-5.471402932,-5.391809375
628750000000,-9.18559145,-8.11548203,-8.380697715,-8.380697715,-7.370763067,-7.196889068
629375000000,-11.93823379,-19.74228889,-20.85157835,-20.85157835,-18.67748466,-17.87812022
630000000000,-15.55174217,6.43337467,3.70872884,3.70872884,8.913307956,10.06780434
630625000000,-16.45149076,-3.3489802,-4.123013573,-4.123013573,-1.497714198,-1.203238665
631250000000,-10.06932454,-4.455090312,-4.743152083,-4.743152083,-3.638214838,-3.520338743
631875000000,-7.81454361,-6.009858645,-6.159826673,-6.159826673,-5.471281214,-5.374612477
632500000000,-6.996142368,-8.397581577,-7.86772212,-7.86772212,-8.569744177,-9.097294962
633125000000,-17.34675353,-2.839838133,-2.367563593,-2.367563593,-4.904856778,-5.425847668
633750000000,-18.02085076,0.013618863,-0.595078677,-0.595078677,1.237346821,1.617183564
634375000000,-11.78858271,-3.3508956,-3.725014349,-3.725014349,-2.364676335,-2.226161758
635000000000,6.634103171,2.376636957,2.486036484,2.486036484,1.943511173,1.897085084
635625000000,-15.67192746,3.565726661,3.247953244,3.247953244,4.926128032,5.027680906
636250000000,-7.190314207,0.303487832,0.195893233,0.195893233,0.698649808,0.749242296
636875000000,-4.572830647,2.373895092,2.699567859,2.699567859,1.890882633,1.802264031
637500000000,-12.10863635,6.240134969,6.786075253,6.786075253,5.287850903,5.141175744
638125000000,-6.837909886,-0.981720021,-1.17116241,-1.17116241,0.099938623,0.244102304
638750000000,5.483231057,-3.885817937,-3.902225208,-3.902225208,-3.862644023,-3.783795071
639375000000,10.30802109,-1.343265775,-1.190486469,-1.190486469,-1.585541932,-1.60082683
640000000000,0.849139726,0.006038548,0.034935398,0.034935398,-0.024298557,-0.031678728
640625000000,-1.598461036,-0.709265119,-0.811935588,-0.811935588,-0.41243837,-0.472648035
641250000000,-0.933400727,-1.047456005,-0.255427753,-0.255427753,-2.456634797,-3.110627098
641875000000,-1.480711557,2.458563379,3.318298823,3.318298823,2.737697024,2.531767103
642500000000,-4.552468313,7.802642352,8.290671315,8.290671315,7.666361992,6.687683107
643125000000,0.328876946,4.583154828,4.593868606,4.593868606,4.523981221,4.594971215
643750000000,3.157240546,14.41394069,12.17785697,12.17785697,14.39675032,14.31234619
644375000000,1.62997007,0.964976806,1.668889487,1.668889487,0.224945343,0.008556906
645000000000,2.384128533,0.036837309,0.165905655,0.165905655,-0.270346564,-0.28444295
645625000000,-4.654237875,-1.095183415,-1.32279226,-1.32279226,-0.656557715,-0.659347236
646250000000,-7.853128021,-4.51694668,-4.858861685,-4.858861685,-3.738192515,-3.720226203
646875000000,-7.664482105,-6.111822653,-6.380071132,-6.380071132,-5.352872149,-5.308617221
647500000000,-11.25600589,-11.79595553,-12.11635197,-12.11635197,-10.7198002,-10.62112367
648125000000,-12.7777416,2.476811425,-0.114283927,-0.114283927,3.953335393,3.301292146
648750000000,-10.17260865,0.376955201,-0.66843284,-0.66843284,2.969031984,3.336182718
649375000000,-9.720205756,-3.981074254,-4.628556989,-4.628556989,-2.507519253,-2.291038209
